loan_amount,interest_rate,grade,homeownership,debt_to_income
7800,14.07,C,MORTGAGE,23.49
20000,10.9,B,RENT,11.56
19200,17.09,D,RENT,22.29
40000,7.34,A,MORTGAGE,8.36
16000,7.96,A,RENT,17.35
10000,6.07,A,MORTGAGE,7.08
9600,6.08,A,MORTGAGE,12.73
17000,10.9,B,MORTGAGE,13.64
22400,10.42,B,MORTGAGE,10.3
20000,13.58,C,MORTGAGE,11.63
10000,16.02,C,MORTGAGE,10.76
10000,7.97,A,MORTGAGE,12.13
4800,11.99,B,MORTGAGE,17.12
16000,17.09,D,MORTGAGE,24.37
35000,6.08,A,MORTGAGE,0.21
2500,9.44,B,OWN,16.61
15000,5.32,A,OWN,26.54
15000,9.93,B,RENT,3.63
20000,15.05,C,RENT,33.98
10000,14.07,C,MORTGAGE,6.73
7500,10.42,B,RENT,17.07
10000,12.62,C,MORTGAGE,36.5
9000,14.07,C,MORTGAGE,11.87
25000,14.07,C,MORTGAGE,29.87
4000,6.08,A,MORTGAGE,38.37
5000,9.44,B,RENT,9.91
24000,19.42,D,OWN,25.9
15000,20,D,RENT,20.78
10000,14.07,C,MORTGAGE,14.81
14000,9.93,B,MORTGAGE,21.65
10000,16.01,C,MORTGAGE,33.64
16000,16.01,C,RENT,16.56
10000,15.05,C,OWN,35.41
4150,13.58,C,MORTGAGE,35.11
10000,10.42,B,MORTGAGE,10.02
35000,12.62,C,MORTGAGE,11.84
5000,12.62,C,MORTGAGE,28.78
11000,6.08,A,RENT,31.72
21200,18.06,D,MORTGAGE,37.51
2000,10.42,B,RENT,21.28
36000,10.9,B,MORTGAGE,39.27
20000,7.96,A,OWN,17.88
16000,9.93,B,RENT,9.35
10000,9.93,B,MORTGAGE,4.12
5000,15.05,C,MORTGAGE,23.24
10400,9.43,B,RENT,15.45
35000,10.9,B,MORTGAGE,8.28
40000,10.42,B,MORTGAGE,7.26
35000,7.97,A,OWN,11.27
40000,5.31,A,RENT,22.03
3000,7.35,A,OWN,21.83
4800,5.31,A,RENT,6.17
35000,16.02,C,RENT,5.52
19000,6.72,A,OWN,7.74
18000,17.47,D,RENT,2.5
4200,9.43,B,MORTGAGE,13.72
10000,15.04,C,RENT,21.75
15000,7.96,A,MORTGAGE,17.98
10000,19.03,D,MORTGAGE,46.08
22000,5.32,A,MORTGAGE,5.9
40000,13.58,C,MORTGAGE,25.52
6000,10.9,B,OWN,17.68
15000,11.99,B,RENT,9.3
3600,7.96,A,OWN,24.1
9000,15.04,C,OWN,4.85
12000,7.34,A,OWN,16.4
13000,9.43,B,RENT,9.95
6000,9.92,B,RENT,40.71
5000,7.34,A,RENT,27.69
17250,20,D,RENT,32.23
20000,24.85,E,RENT,34.91
15000,14.07,C,RENT,37.52
15000,10.91,B,MORTGAGE,19.73
13000,10.41,B,RENT,7.32
16000,12.62,C,MORTGAGE,7.02
13200,10.42,B,OWN,5.09
3000,6.71,A,MORTGAGE,9.32
17000,7.97,A,OWN,19.11
10000,7.97,A,MORTGAGE,18.27
14400,13.58,C,MORTGAGE,24.81
7500,5.32,A,RENT,7.23
6000,15.04,C,RENT,20.63
26250,9.43,B,MORTGAGE,19.78
8400,14.08,C,RENT,20.21
1500,9.44,B,OWN,15.07
15000,18.06,D,OWN,2.08
16000,26.3,E,RENT,15.34
4200,7.34,A,OWN,13.2
30000,5.32,A,RENT,4.25
19200,19.03,D,RENT,25.84
12000,15.05,C,OWN,26.03
3600,10.91,B,MORTGAGE,10.24
7000,6.72,A,MORTGAGE,17.34
25000,12.61,C,MORTGAGE,18.16
6000,16.02,C,RENT,27.91
12000,12.62,C,RENT,18.71
20000,10.9,B,OWN,18.23
12000,16.02,C,MORTGAGE,11.94
10000,9.44,B,RENT,8.15
12000,21.45,D,RENT,21.76
10000,9.43,B,MORTGAGE,3.52
10000,19.42,D,RENT,16.03
20000,5.32,A,MORTGAGE,23.66
25000,10.91,B,RENT,14.15
17075,6.72,A,MORTGAGE,16.39
7000,7.35,A,RENT,5
1500,10.91,B,MORTGAGE,21.64
15000,28.72,F,RENT,15.25
24000,13.59,C,MORTGAGE,49.99
3400,10.42,B,MORTGAGE,12
21000,5.31,A,RENT,10.24
14000,14.08,C,MORTGAGE,17.57
15000,6.08,A,RENT,29.68
25000,9.44,B,RENT,16.44
20000,9.44,B,RENT,18.07
15000,13.59,C,MORTGAGE,59.68
16000,12.61,C,MORTGAGE,7.23
25000,10.42,B,MORTGAGE,25.14
1500,23.88,E,MORTGAGE,27.48
5000,12.61,C,RENT,38.75
5000,15.05,C,MORTGAGE,53.39
8000,10.91,B,MORTGAGE,11.83
10000,6.71,A,MORTGAGE,13.46
35000,15.05,C,OWN,10.1
12000,12.62,C,OWN,37.23
10000,7.97,A,OWN,22.47
30000,15.04,C,RENT,11.04
29700,22.9,E,MORTGAGE,24.72
10000,11.98,B,OWN,9.84
28000,16.02,C,RENT,28.24
1800,7.34,A,MORTGAGE,32.52
38000,11.99,B,RENT,30.51
15000,20.39,D,MORTGAGE,27.1
20000,7.34,A,MORTGAGE,10.7
10000,6.08,A,RENT,21.06
25000,13.58,C,MORTGAGE,10.75
4800,6.08,A,RENT,3.41
10000,14.08,C,RENT,25.89
20000,10.9,B,OWN,23.52
10000,18.06,D,RENT,12.91
25000,12.61,C,RENT,8.91
40000,13.59,C,MORTGAGE,32.25
1000,7.97,A,MORTGAGE,10.67
16000,12.61,C,MORTGAGE,23.08
14000,7.96,A,MORTGAGE,11.5
27575,17.47,D,OWN,25.36
3600,6.07,A,MORTGAGE,14.82
35000,12.62,C,MORTGAGE,16.91
5000,9.92,B,RENT,4.96
15000,11.99,B,MORTGAGE,16.11
1200,7.34,A,RENT,19.46
30000,16.01,C,RENT,25.32
24000,15.05,C,RENT,22.12
16000,16.01,C,MORTGAGE,7.84
14000,9.44,B,MORTGAGE,25.7
15000,9.92,B,RENT,5.07
20000,13.59,C,MORTGAGE,7.5
14000,15.04,C,MORTGAGE,3.29
11000,20.39,D,MORTGAGE,18.34
16000,6.08,A,OWN,48.23
7000,19.42,D,OWN,30.24
16000,19.42,D,RENT,13.38
21600,9.44,B,MORTGAGE,14.52
14000,14.07,C,MORTGAGE,27.02
35000,9.44,B,MORTGAGE,13.33
4000,9.92,B,RENT,35.8
7500,7.34,A,OWN,22.06
16000,6.08,A,MORTGAGE,21.13
15000,9.92,B,MORTGAGE,16.82
20000,14.08,C,MORTGAGE,7.94
24000,18.06,D,MORTGAGE,14.1
8000,19.03,D,MORTGAGE,11.21
10000,19.03,D,RENT,22.56
7000,9.93,B,MORTGAGE,11.78
36000,11.99,B,RENT,16.14
25000,7.34,A,MORTGAGE,4.75
18000,7.35,A,OWN,57.68
6500,12.61,C,MORTGAGE,9.93
5000,10.91,B,RENT,25.86
20000,21.45,D,MORTGAGE,23.46
24000,9.44,B,RENT,5.81
35000,12.62,C,MORTGAGE,20.93
3500,13.58,C,OWN,34.38
9600,16.02,C,MORTGAGE,57.24
5000,21.45,D,MORTGAGE,30.73
10000,6.71,A,MORTGAGE,16.28
20000,14.08,C,RENT,21.66
24000,12.61,C,MORTGAGE,5.7
3500,6.08,A,OWN,17.69
13500,9.92,B,RENT,16.77
40000,5.31,A,OWN,11.68
15000,20.39,D,RENT,21.19
4000,13.59,C,MORTGAGE,5.03
40000,9.93,B,MORTGAGE,33.97
31000,20,D,MORTGAGE,21.34
7500,14.07,C,RENT,1.43
7200,11.99,B,RENT,14.89
16000,14.08,C,MORTGAGE,20.24
5000,21.45,D,OWN,31.03
25000,9.44,B,MORTGAGE,18.22
30000,18.45,D,MORTGAGE,20.14
3200,10.9,B,RENT,27.54
6000,11.99,B,RENT,10.99
40000,6.71,A,MORTGAGE,17.97
11000,6.72,A,RENT,13.41
40000,6.08,A,MORTGAGE,2.01
12000,24.84,E,MORTGAGE,9.73
23625,21.45,D,RENT,9.55
14000,17.47,D,OWN,38.24
40000,6.72,A,RENT,8.1
8125,14.07,C,MORTGAGE,28.54
11000,16.02,C,MORTGAGE,35.49
35000,12.62,C,OWN,5.06
18000,13.58,C,RENT,NA
16100,5.31,A,RENT,16.49
5000,12.62,C,MORTGAGE,21.43
10000,13.58,C,OWN,16.05
8000,15.05,C,RENT,10.85
25050,9.92,B,RENT,46.29
25000,9.44,B,MORTGAGE,21.72
5000,15.05,C,MORTGAGE,18.03
20000,12.62,C,RENT,14.08
12800,9.44,B,MORTGAGE,3.43
18000,15.05,C,RENT,NA
24000,7.35,A,MORTGAGE,4.1
25000,11.99,B,MORTGAGE,18.61
5000,10.9,B,RENT,22.33
20375,9.43,B,MORTGAGE,22.35
11000,10.42,B,MORTGAGE,14.7
25000,12.62,C,MORTGAGE,25.39
9000,12.61,C,MORTGAGE,18.18
24000,14.08,C,MORTGAGE,27.52
19000,15.05,C,RENT,14.62
8000,9.93,B,OWN,11.29
15000,9.92,B,MORTGAGE,26.73
7000,9.44,B,RENT,21.08
8000,18.06,D,RENT,5.85
5500,10.91,B,MORTGAGE,29.84
17000,21.85,D,RENT,4.95
15000,25.82,E,RENT,32.18
12000,9.92,B,MORTGAGE,16.45
24000,20,D,RENT,6.2
20000,7.97,A,MORTGAGE,24.89
35000,14.08,C,RENT,7.73
24000,12.62,C,MORTGAGE,22.9
15500,10.42,B,RENT,21.77
18000,18.45,D,RENT,0.6
4000,13.59,C,RENT,5.65
15000,6.08,A,RENT,17.53
25000,21.45,D,MORTGAGE,29.23
8000,10.42,B,RENT,10.56
5000,10.91,B,MORTGAGE,13.79
12000,16.02,C,OWN,18.47
4000,17.09,D,RENT,7.52
2000,9.44,B,MORTGAGE,40.42
16000,16.02,C,RENT,45.83
4000,13.58,C,RENT,26.79
4200,7.35,A,RENT,7.01
20000,9.43,B,MORTGAGE,30.62
40000,11.98,B,MORTGAGE,11.9
10000,11.98,B,RENT,16.11
7500,10.91,B,MORTGAGE,6.7
3625,13.59,C,RENT,9.23
18375,10.9,B,MORTGAGE,23.02
30000,18.45,D,MORTGAGE,21.41
10000,13.59,C,MORTGAGE,16.2
3500,18.06,D,RENT,24.47
40000,6.72,A,RENT,12.5
20000,10.42,B,MORTGAGE,28.98
8000,10.42,B,RENT,17.36
5000,7.97,A,MORTGAGE,16.73
8000,19.42,D,RENT,34.63
25000,6.08,A,MORTGAGE,32.66
12000,5.31,A,MORTGAGE,5.62
34800,13.59,C,MORTGAGE,21.57
20000,10.91,B,RENT,22.5
22000,12.61,C,MORTGAGE,9.23
16800,13.59,C,MORTGAGE,37.32
35000,18.06,D,OWN,14.96
40000,10.9,B,MORTGAGE,9.32
12000,20,D,RENT,33.77
15000,7.34,A,MORTGAGE,18.87
22000,5.31,A,MORTGAGE,7.02
16000,16.01,C,RENT,24.8
6025,16.01,C,RENT,5.85
30000,11.99,B,MORTGAGE,25.94
20000,9.44,B,OWN,17.7
10000,16.01,C,OWN,11.29
5000,10.41,B,MORTGAGE,22.81
24875,24.85,E,RENT,28.5
3900,9.92,B,RENT,5.47
6400,10.91,B,RENT,8.94
16000,6.71,A,MORTGAGE,13.49
12000,6.08,A,MORTGAGE,30.69
10000,6.72,A,OWN,10.17
7000,10.42,B,RENT,10.94
25000,7.35,A,MORTGAGE,26.7
4000,17.47,D,RENT,12.99
40000,11.99,B,MORTGAGE,24.77
25000,15.05,C,MORTGAGE,21.6
26600,20.39,D,MORTGAGE,21.36
17000,9.44,B,OWN,25.36
15000,5.31,A,MORTGAGE,2.09
5000,12.61,C,RENT,20.5
25000,7.34,A,MORTGAGE,18.58
12475,25.82,E,RENT,28.77
15000,18.06,D,RENT,14.93
1600,9.43,B,MORTGAGE,14.07
40000,6.07,A,OWN,24.17
40000,20,D,MORTGAGE,59.29
40000,7.34,A,MORTGAGE,28.84
10000,10.42,B,RENT,9.76
40000,11.99,B,MORTGAGE,21.42
10000,7.96,A,MORTGAGE,16.36
10000,7.34,A,MORTGAGE,6.71
14000,20,D,RENT,14.64
5175,18.45,D,OWN,7.22
8800,9.92,B,OWN,21.76
24000,12.61,C,MORTGAGE,19.81
15000,11.99,B,MORTGAGE,25.36
12800,13.58,C,RENT,18.43
4900,13.58,C,MORTGAGE,21.65
4000,9.44,B,RENT,12.78
40000,7.96,A,OWN,4.55
12000,26.77,E,MORTGAGE,31.9
6000,9.92,B,RENT,19.71
26400,14.07,C,MORTGAGE,19.58
10000,6.07,A,MORTGAGE,20.99
3000,16.01,C,RENT,14.37
12500,13.58,C,RENT,22.48
39425,10.9,B,MORTGAGE,27.93
8500,13.58,C,MORTGAGE,16.97
15000,20,D,MORTGAGE,6.7
3000,10.41,B,MORTGAGE,9.55
8000,6.72,A,MORTGAGE,30.49
18000,18.06,D,RENT,34.53
8000,9.93,B,MORTGAGE,16.28
6000,9.93,B,OWN,7.4
5000,12.62,C,OWN,14.64
10000,13.58,C,OWN,16.11
25000,15.05,C,RENT,18.8
22000,9.93,B,RENT,7.11
16800,12.61,C,MORTGAGE,13.25
40000,10.42,B,MORTGAGE,25.69
10000,17.09,D,RENT,17.85
9000,7.97,A,RENT,26.89
5000,18.06,D,RENT,17.01
23100,12.61,C,MORTGAGE,12.57
38450,6.07,A,MORTGAGE,26.54
40000,9.93,B,MORTGAGE,26.31
21000,5.31,A,OWN,11.71
15000,15.04,C,OWN,32.54
12000,13.59,C,MORTGAGE,18.89
35000,10.91,B,RENT,180.71
18700,7.96,A,OWN,15.5
8000,21.45,D,MORTGAGE,26
5000,16.01,C,MORTGAGE,1.29
1000,16.02,C,RENT,28.21
20000,12.62,C,RENT,18.7
20000,15.04,C,RENT,29.22
30000,13.58,C,RENT,27.12
5500,6.71,A,OWN,17.6
14000,9.93,B,RENT,17.75
11000,15.05,C,OWN,11.82
4200,9.43,B,MORTGAGE,4.21
30000,11.99,B,OWN,10.69
10000,9.93,B,RENT,12.84
11900,11.98,B,MORTGAGE,16.25
15000,17.09,D,OWN,17.3
5000,9.44,B,MORTGAGE,36.86
15000,9.93,B,OWN,34.19
26750,20,D,RENT,22.8
6000,5.31,A,MORTGAGE,8.8
10000,12.62,C,OWN,26.4
17100,23.88,E,OWN,32.58
3500,7.34,A,OWN,30.69
5000,7.34,A,RENT,9.15
6750,7.96,A,MORTGAGE,12.99
16000,9.43,B,OWN,2.94
35000,15.04,C,MORTGAGE,23.99
15000,11.99,B,RENT,23.41
20000,13.58,C,RENT,5.01
20000,25.82,E,MORTGAGE,18.12
15000,5.32,A,OWN,5.26
15000,10.91,B,MORTGAGE,18.03
21000,6.71,A,RENT,1.98
3000,12.61,C,MORTGAGE,26.83
27000,16.01,C,MORTGAGE,31.71
15000,21.45,D,MORTGAGE,21.72
14400,14.07,C,RENT,14.63
20000,7.34,A,MORTGAGE,17.25
3000,18.45,D,RENT,22.75
2700,22.91,E,MORTGAGE,8.2
25000,19.42,D,MORTGAGE,23.81
25000,7.35,A,MORTGAGE,8.92
40000,9.44,B,OWN,8.45
7000,7.97,A,RENT,21.47
16000,17.47,D,RENT,17.76
3000,16.02,C,MORTGAGE,17.72
8500,20.39,D,RENT,16.33
1800,7.96,A,RENT,4.51
20000,18.45,D,MORTGAGE,16.6
25000,7.34,A,MORTGAGE,33.71
22000,10.9,B,RENT,24.93
35000,12.62,C,MORTGAGE,15.35
30000,24.84,E,OWN,23.48
30000,21.85,D,MORTGAGE,13.95
10000,6.72,A,MORTGAGE,4.98
28000,10.42,B,MORTGAGE,16.15
6500,6.71,A,MORTGAGE,39.83
25000,11.98,B,RENT,2.86
4000,16.02,C,RENT,15.5
8500,12.61,C,RENT,25.33
38500,11.99,B,RENT,7.74
29900,19.42,D,OWN,32.98
24000,15.05,C,OWN,9.79
20000,26.3,E,OWN,12.49
15000,17.09,D,RENT,14.07
30000,16.02,C,MORTGAGE,22.6
20000,7.35,A,MORTGAGE,23.82
40000,6.07,A,MORTGAGE,15.2
15000,6.72,A,MORTGAGE,9.67
6000,18.45,D,MORTGAGE,22.77
5000,20,D,OWN,34.02
36000,12.62,C,MORTGAGE,28.15
15000,9.93,B,MORTGAGE,25.64
7000,9.43,B,OWN,96.77
12000,9.43,B,RENT,12.41
11000,7.34,A,RENT,5.81
16000,12.61,C,RENT,13.72
16800,7.97,A,MORTGAGE,18.32
4800,17.47,D,RENT,7.88
22000,14.08,C,OWN,19.45
4600,19.42,D,MORTGAGE,11.58
18000,6.72,A,MORTGAGE,15.94
12000,11.99,B,MORTGAGE,52.22
15000,19.42,D,MORTGAGE,12.91
30000,28.72,F,MORTGAGE,29.16
16000,19.42,D,OWN,24.54
30000,12.61,C,MORTGAGE,22.64
24000,9.44,B,MORTGAGE,9.02
10800,13.58,C,MORTGAGE,23.4
19000,21.85,D,RENT,21.15
28350,12.62,C,RENT,11.27
2000,14.07,C,RENT,6.02
22000,6.72,A,MORTGAGE,18.87
7000,14.08,C,RENT,2.22
10000,9.43,B,MORTGAGE,3.99
5000,16.01,C,MORTGAGE,32
4000,10.41,B,MORTGAGE,9.13
19325,13.59,C,MORTGAGE,50.91
12000,11.99,B,OWN,14.11
2000,10.42,B,MORTGAGE,28.91
12800,18.06,D,OWN,38.78
7000,6.71,A,MORTGAGE,10.57
8000,13.59,C,RENT,19.46
25000,21.45,D,MORTGAGE,16.22
8000,15.05,C,OWN,31.77
40000,7.35,A,MORTGAGE,8.24
20000,17.47,D,OWN,22.75
10975,6.07,A,RENT,22.8
7800,21.45,D,MORTGAGE,31.88
20000,26.3,E,MORTGAGE,24.56
10000,7.97,A,MORTGAGE,4.68
10000,16.02,C,RENT,26.69
7500,14.08,C,OWN,28.04
10000,11.99,B,OWN,1.2
15700,17.09,D,MORTGAGE,16.56
25600,17.09,D,RENT,4.03
24600,26.3,E,RENT,48.47
8300,6.07,A,RENT,17.27
18000,7.96,A,RENT,17.52
7500,17.09,D,RENT,30.62
20400,6.07,A,RENT,6.86
12000,13.58,C,MORTGAGE,15.1
9000,5.31,A,OWN,12.56
40000,10.91,B,MORTGAGE,12.38
25000,6.07,A,MORTGAGE,23.17
3000,11.98,B,RENT,7.15
40000,9.44,B,MORTGAGE,10.57
12000,15.05,C,RENT,22.01
40000,7.34,A,MORTGAGE,33.16
6000,10.41,B,MORTGAGE,21.92
28000,13.58,C,MORTGAGE,22.25
14000,9.43,B,RENT,10.84
26400,11.98,B,MORTGAGE,22.61
25000,15.04,C,OWN,22.17
30000,12.62,C,MORTGAGE,17.48
12000,7.96,A,MORTGAGE,15.51
9800,15.05,C,RENT,14.29
15000,7.97,A,RENT,10.78
3025,9.43,B,MORTGAGE,8.98
2500,11.99,B,OWN,6.13
36000,6.08,A,OWN,8.16
24000,11.99,B,OWN,13.58
24000,18.45,D,RENT,27.35
5000,11.98,B,OWN,10.87
9600,21.85,D,RENT,19.56
4800,10.42,B,RENT,26.11
20000,17.09,D,MORTGAGE,18.54
3000,9.92,B,RENT,16.47
29000,10.42,B,RENT,7.5
3000,9.93,B,MORTGAGE,18.42
2700,12.62,C,MORTGAGE,30.44
16000,13.59,C,RENT,5.61
13000,11.99,B,MORTGAGE,21.19
14400,11.99,B,MORTGAGE,25.07
8000,16.02,C,RENT,26.8
25000,6.72,A,RENT,24.52
28000,18.06,D,OWN,26.69
3000,9.43,B,RENT,13.19
24000,25.82,E,RENT,21.18
24000,6.71,A,MORTGAGE,24.96
20000,5.32,A,MORTGAGE,13.34
7000,7.97,A,OWN,64.4
12000,9.44,B,OWN,5.31
11200,12.62,C,OWN,15.95
38400,7.34,A,MORTGAGE,24.44
18000,10.42,B,MORTGAGE,4.42
2000,14.07,C,RENT,27.7
13000,13.58,C,MORTGAGE,21.87
8000,9.44,B,OWN,10.96
17000,14.08,C,RENT,20.38
40000,16.01,C,MORTGAGE,20.59
1000,22.9,E,RENT,2.4
6800,17.09,D,RENT,16.17
35000,16.01,C,RENT,35.03
24000,10.91,B,MORTGAGE,9.58
15000,16.01,C,RENT,20.43
5000,6.72,A,MORTGAGE,13.61
25000,15.04,C,RENT,13.68
25000,14.08,C,RENT,19.21
15400,17.09,D,MORTGAGE,33.6
40000,9.44,B,RENT,2.75
10000,14.07,C,OWN,6.84
20250,16.02,C,RENT,15.01
12000,5.31,A,MORTGAGE,18.62
7200,6.72,A,MORTGAGE,18.71
10000,5.32,A,MORTGAGE,11.06
15000,9.93,B,RENT,14.31
10000,9.93,B,MORTGAGE,17.05
11000,13.59,C,MORTGAGE,13.89
3000,10.9,B,MORTGAGE,19.5
25000,13.59,C,MORTGAGE,15.4
7000,6.72,A,RENT,11.93
6050,10.42,B,MORTGAGE,17.7
10000,14.07,C,RENT,16.5
30000,16.02,C,RENT,31.27
4000,15.05,C,RENT,29.64
5500,18.45,D,RENT,17.67
6975,13.59,C,MORTGAGE,27.21
10000,16.01,C,RENT,20.47
20000,15.04,C,RENT,13.29
15000,19.03,D,RENT,28.97
40000,7.35,A,MORTGAGE,3.46
10000,9.43,B,MORTGAGE,5.47
13500,7.97,A,RENT,26.71
10000,20.39,D,MORTGAGE,17.41
40000,10.42,B,RENT,1.12
20000,7.97,A,RENT,10.37
10000,7.34,A,MORTGAGE,15.62
15000,11.98,B,RENT,32.44
8000,12.62,C,OWN,21.12
7000,15.05,C,MORTGAGE,33.83
9000,10.91,B,RENT,6.41
22000,11.99,B,MORTGAGE,22.94
15500,9.44,B,RENT,35.68
9500,9.92,B,RENT,12.62
10000,19.42,D,RENT,22.67
10000,12.62,C,OWN,13.49
4000,14.07,C,RENT,24.55
24300,14.08,C,MORTGAGE,14.5
35000,12.61,C,OWN,24.13
10000,9.93,B,OWN,15.99
30000,26.3,E,MORTGAGE,30.51
12000,13.59,C,MORTGAGE,4.27
17000,9.93,B,MORTGAGE,10.57
10000,5.31,A,MORTGAGE,16.27
10000,6.71,A,RENT,3.63
5800,14.08,C,MORTGAGE,34.4
35000,9.92,B,MORTGAGE,7.6
13500,9.44,B,OWN,46.5
20000,9.93,B,OWN,20.82
7000,10.42,B,RENT,6.8
12000,14.08,C,MORTGAGE,37.01
17275,7.35,A,MORTGAGE,47.91
35000,17.09,D,RENT,3.43
3000,19.03,D,MORTGAGE,34.53
10000,19.42,D,RENT,25.93
40000,9.93,B,MORTGAGE,15.87
2000,10.42,B,RENT,24.07
33600,13.59,C,MORTGAGE,19.53
3000,7.35,A,RENT,30.61
8000,16.01,C,RENT,18.93
8000,11.99,B,RENT,22.6
3500,7.34,A,RENT,35.58
15000,15.05,C,OWN,0.6
15000,14.08,C,OWN,19.8
22000,7.35,A,MORTGAGE,1.99
13000,11.98,B,RENT,23.29
25000,11.98,B,MORTGAGE,29.02
22000,7.35,A,MORTGAGE,20.34
15000,12.62,C,MORTGAGE,45.75
20000,14.07,C,RENT,20.27
24000,17.47,D,RENT,9.76
12000,6.07,A,MORTGAGE,16.51
16000,19.03,D,MORTGAGE,81.61
16000,9.43,B,MORTGAGE,49.32
6000,13.59,C,MORTGAGE,8.31
10000,7.96,A,RENT,13.33
20000,12.62,C,MORTGAGE,48.96
13500,7.96,A,MORTGAGE,15.57
6000,15.04,C,RENT,21.28
18550,11.98,B,MORTGAGE,18.75
16000,23.88,E,MORTGAGE,29.73
20000,18.06,D,OWN,24.96
30000,21.45,D,MORTGAGE,30.09
31700,10.9,B,MORTGAGE,21.09
11200,14.08,C,RENT,34.59
12000,16.02,C,RENT,22.15
17000,7.35,A,RENT,26.03
11000,6.08,A,RENT,4.43
9000,20,D,RENT,34.82
19000,9.43,B,RENT,20.89
8000,17.47,D,MORTGAGE,36.28
26500,9.43,B,MORTGAGE,13.98
25000,26.77,E,RENT,45.37
14000,7.97,A,MORTGAGE,8.32
5000,15.05,C,MORTGAGE,14.09
2100,15.04,C,OWN,4.53
10000,11.99,B,MORTGAGE,34.21
33600,9.93,B,MORTGAGE,24.2
14400,6.72,A,MORTGAGE,3.23
10000,9.44,B,MORTGAGE,10.34
5000,6.08,A,OWN,5.84
3000,19.03,D,RENT,17.96
4800,14.07,C,RENT,4.55
22400,10.91,B,MORTGAGE,26.5
35000,15.04,C,MORTGAGE,27.99
10000,7.97,A,RENT,21.09
9600,14.08,C,RENT,19.71
14000,10.91,B,MORTGAGE,28.46
6000,10.91,B,OWN,18.16
6000,9.43,B,MORTGAGE,8.76
12000,9.92,B,MORTGAGE,13.14
4200,10.91,B,RENT,14.65
25000,21.45,D,RENT,13.85
16000,13.59,C,RENT,15.45
5000,6.71,A,RENT,13.47
36000,6.71,A,RENT,15.27
16000,9.93,B,OWN,14
22400,9.92,B,MORTGAGE,39.45
13000,11.98,B,MORTGAGE,16.97
15000,21.45,D,OWN,1.97
40000,9.93,B,MORTGAGE,22.2
17000,10.42,B,RENT,36.93
35000,29.69,F,MORTGAGE,20.84
10000,6.08,A,RENT,26.58
16000,18.06,D,RENT,35.99
20000,9.92,B,MORTGAGE,15.44
15000,10.91,B,RENT,9.89
12600,10.91,B,RENT,7.08
10000,15.04,C,RENT,20.68
1200,7.96,A,MORTGAGE,9.75
13000,5.31,A,RENT,43.96
24000,19.42,D,MORTGAGE,11.31
16000,10.42,B,OWN,27.32
6000,13.59,C,OWN,16.51
14450,15.05,C,OWN,29.65
1600,13.58,C,OWN,43.6
40000,9.43,B,MORTGAGE,1.09
8000,5.32,A,MORTGAGE,14.08
5000,9.93,B,RENT,20.85
31000,11.98,B,MORTGAGE,37.35
12000,17.47,D,RENT,24.31
17000,12.62,C,RENT,27.19
18000,10.42,B,MORTGAGE,18.51
25000,9.43,B,MORTGAGE,38.46
25000,10.9,B,RENT,23.04
20000,16.02,C,MORTGAGE,26.19
12000,7.97,A,RENT,15.18
24000,7.35,A,MORTGAGE,2.66
30000,15.05,C,RENT,22.38
25000,11.99,B,MORTGAGE,29.13
40000,10.41,B,MORTGAGE,28.63
10000,9.93,B,RENT,17.97
16000,7.35,A,RENT,15.7
25000,7.34,A,MORTGAGE,28.44
36000,7.96,A,MORTGAGE,14.39
9600,13.58,C,RENT,10
6000,6.07,A,MORTGAGE,11.4
20000,14.07,C,RENT,12.09
15000,6.07,A,RENT,7.93
15000,9.93,B,RENT,26.84
7000,12.61,C,MORTGAGE,19.36
6000,5.32,A,RENT,13.14
5000,21.85,D,RENT,21.04
8000,16.01,C,MORTGAGE,32.75
16000,15.04,C,MORTGAGE,20.97
5000,5.31,A,MORTGAGE,3.99
40000,7.97,A,MORTGAGE,23.84
25000,12.62,C,RENT,26.72
10000,15.04,C,RENT,32.79
3000,21.85,D,RENT,26.31
28000,9.43,B,MORTGAGE,27.48
10000,9.44,B,MORTGAGE,32.86
7000,6.07,A,MORTGAGE,16.08
14975,7.96,A,MORTGAGE,14.08
10000,20,D,OWN,20.39
2200,10.42,B,MORTGAGE,15.2
30000,19.42,D,MORTGAGE,29.76
38400,7.35,A,OWN,9.12
40000,11.98,B,OWN,7.7
40000,13.58,C,MORTGAGE,9.73
12800,20.39,D,OWN,27.16
7000,9.43,B,MORTGAGE,9.42
20000,7.35,A,MORTGAGE,20.45
20175,15.04,C,RENT,15.92
25000,12.62,C,MORTGAGE,14.2
35000,5.32,A,RENT,1.66
5000,9.92,B,RENT,12.35
3000,6.07,A,RENT,18.33
20000,20,D,OWN,10.15
35000,10.41,B,RENT,32.53
35000,6.07,A,RENT,11.88
4000,11.99,B,MORTGAGE,28.03
12000,7.96,A,MORTGAGE,7.93
12000,10.91,B,MORTGAGE,36.31
15000,15.05,C,RENT,13.07
10000,10.42,B,RENT,20.19
24000,7.97,A,RENT,14.38
20000,10.41,B,RENT,4.47
3000,9.93,B,RENT,12.3
15000,9.93,B,MORTGAGE,25.56
10000,7.35,A,RENT,19.03
2200,18.06,D,RENT,31.72
18000,6.08,A,RENT,29.08
25000,6.07,A,MORTGAGE,18.3
30000,6.71,A,MORTGAGE,7.79
12000,9.92,B,OWN,18.11
5000,14.08,C,OWN,23.47
2400,10.42,B,RENT,21.64
